Слово;Частота;Частота (%)
в;5;4,76%
и;5;4,76%
частоту;2;1,90%
на;2;1,90%
частоты;2;1,90%
программа;2;1,90%
который;2;1,90%
что;2;1,90%
текстового;2;1,90%
класс;2;1,90%
его;2;1,90%
файла;2;1,90%
аргумент;1;0,95%
завершает;1;0,95%
создается;1;0,95%
определяются;1;0,95%
csv;1;0,95%
указаны;1;0,95%
начале;1;0,95%
формате;1;0,95%
позволяет;1;0,95%
корректно;1;0,95%
выполнение;1;0,95%
вывода;1;0,95%
их;1;0,95%
начальную;1;0,95%
строки;1;0,95%
проверка;1;0,95%
конструктор;1;0,95%
аргументы;1;0,95%
этот;1;0,95%
увеличивает;1;0,95%
hashmap;1;0,95%
чтения;1;0,95%
hashcode;1;0,95%
затем;1;0,95%
таких;1;0,95%
0;1;0,95%
слов;1;0,95%
1;1;0,95%
об;1;0,95%
основном;1;0,95%
для;1;0,95%
методе;1;0,95%
отвечает;1;0,95%
аргументов;1;0,95%
сообщение;1;0,95%
предназначена;1;0,95%
сравнивать;1;0,95%
неправильно;1;0,95%
объекты;1;0,95%
ошибке;1;0,95%
методы;1;0,95%
инициализирует;1;0,95%
программы;1;0,95%
один;1;0,95%
слова;1;0,95%
устанавливает;1;0,95%
передан;1;0,95%
класса;1;0,95%
был;1;0,95%
хранение;1;0,95%
командной;1;0,95%
как;1;0,95%
происходит;1;0,95%
классе;1;0,95%
wordfrequency;1;0,95%
за;1;0,95%
имя;1;0,95%
слово;1;0,95%
коллекциях;1;0,95%
самом;1;0,95%
выводит;1;0,95%
при;1;0,95%
increase;1;0,95%
имеет;1;0,95%
этого;1;0,95%
использовании;1;0,95%
если;1;0,95%
только;1;0,95%
подсчета;1;0,95%
equals;1;0,95%
убедиться;1;0,95%
метод;1;0,95%
чтобы;1;0,95%
результатов;1;0,95%
также;1;0,95%
